Iteration,Parameters,Return
51/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0012
52/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0005
53/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
54/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0012
55/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0005
56/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
57/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0012
58/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0005
59/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
60/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0012
61/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.0), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0006
62/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.0), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0014
63/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.0), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0013
64/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.1), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0006
65/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.1), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0014
66/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.1), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0013
67/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0006
68/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0014
69/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0013
70/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0006
71/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0014
72/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0013
73/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0006
74/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0014
75/90,"{'resistance_period': 13, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0013
76/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0006
77/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0014
78/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.0), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0013
79/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0006
80/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0014
81/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.1), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0013
82/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0006
83/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0014
84/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0013
85/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0006
86/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0014
87/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0013
88/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0006
89/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0014
90/90,"{'resistance_period': 15, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0013
