Iteration,Parameters,Return
71/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
72/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
73/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
74/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
75/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
76/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
77/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
78/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
79/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
80/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
81/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
82/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
83/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
84/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
85/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
86/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
